Timestamp(UTC), Latitude, Longitude, Wave Height(meters), Wave Direction(degrees T), Average Wave Period(seconds), Dominant Wave Period(seconds)
2011-11-19 14:30:00, 36.9049, -122.4760,  3.3,  43, 11.2, 12.8
2011-11-19 15:00:00, 36.8968, -122.4691,  3.5,  62,  8.6, 18.3
2011-11-19 15:30:00, 36.8892, -122.4627,  4.2,  62,  9.9, 14.2
2011-11-19 16:30:00, 36.8761, -122.4512,  3.9,  49, 10.7, 11.6
2011-11-19 17:00:00, 36.8692, -122.4452,  4.1,  50, 11.2, 12.8
2011-11-19 17:30:00, 36.8605, -122.4379,  3.7,  50,  9.7, 12.8
2011-11-19 18:00:00, 36.8518, -122.4303,  4.2,  44, 10.2, 16.0
2011-11-19 18:30:00, 36.8424, -122.4223,  4.2,  47, 10.1, 14.2
2011-11-19 19:00:00, 36.8337, -122.4146,  4.6,  41, 12.4, 25.6
2011-11-19 19:30:00, 36.8259, -122.4080,  3.6,  46,  9.8, 11.6
2011-11-19 20:00:00, 36.8180, -122.4012,  3.9,  45,  9.3, 14.2
2011-11-19 20:30:00, 36.8119, -122.3958,  3.6,  41,  9.5, 11.6
2011-11-19 21:00:00, 36.8090, -122.3935,  3.5,  55, 10.2, 10.7
2011-11-19 21:30:00, 36.8044, -122.3895,  4.4,  62, 10.8, 12.8
2011-11-19 22:00:00, 36.7972, -122.3836,  3.5,  55,  8.6, 10.7
2011-11-19 22:30:00, 36.7904, -122.3840,  3.4,  61, 10.2, 14.2
2011-11-19 23:00:00, 36.7829, -122.3839,  3.5,  59,  9.8,  8.5
2011-11-19 23:30:00, 36.7779, -122.3881,  4.1,  27, 10.1, 25.6
2011-11-20 00:00:00, 36.7745, -122.3952,  2.7,  75,  7.9,  9.8
2011-11-20 01:00:00, 36.7740, -122.4118,  2.8,  17,  7.6, 11.6
2011-11-20 01:30:00, 36.7794, -122.4236,  3.5,  47,  8.2, 12.8
2011-11-20 02:00:00, 36.7950, -122.4240,  3.2,  35,  8.2, 11.6
2011-11-20 02:30:00, 36.8055, -122.4086,  4.0,  80,  9.6, 10.7
2011-11-21 05:30:00, 36.7333, -122.0168,  3.0,  89,  7.4, 10.7
2011-11-21 06:00:00, 36.7364, -122.0331,  3.3,  79,  8.3,  8.0
2011-11-21 06:30:00, 36.7491, -122.0413,  3.2,  45,  8.3, 25.6
2011-11-21 07:00:00, 36.7602, -122.0441,  3.4, 139,  7.6,  9.1
2011-11-21 07:30:00, 36.7726, -122.0585,  2.9,  58,  7.8, 11.6
2011-11-21 08:00:00, 36.7852, -122.0735,  2.5,  50,  7.7, 11.6
2011-11-21 08:30:00, 36.7918, -122.0925,  2.5,  74, 10.1, 11.6
2011-11-21 09:00:00, 36.7978, -122.1103,  2.2,  83,  7.0,  7.5
2011-11-21 09:30:00, 36.8035, -122.1271,  2.1,  69,  7.4, 11.6
2011-11-21 10:00:00, 36.8086, -122.1422,  2.6,  58, 10.7, 25.6
2011-11-21 10:30:00, 36.8137, -122.1567,  2.2,  67,  6.9, 10.7
2011-11-21 11:00:00, 36.8113, -122.1640,  2.3,  64,  6.5,  8.5
