Timestamp(UTC), Latitude, Longitude, Wave Height(meters), Wave Direction(degrees T), Average Wave Period(seconds), Dominant Wave Period(seconds)
2011-11-21 23:30:00, 36.7675, -122.0904,  1.7,  77,  7.5, 10.7
2011-11-22 00:00:00, 36.7694, -122.0835,  1.7, 103,  7.2,  6.7
2011-11-22 00:30:00, 36.7727, -122.0941,  2.0,  67,  8.1, 10.7
2011-11-22 01:00:00, 36.7769, -122.1062,  1.8,  71,  8.3,  9.1
2011-11-22 01:30:00, 36.7818, -122.1206,  1.9,  96,  7.4,  9.8
2011-11-22 02:00:00, 36.7862, -122.1338,  1.9,  63,  7.6, 11.6
2011-11-22 02:30:00, 36.7945, -122.1372,  2.3,  57,  8.5, 11.6
2011-11-22 03:00:00, 36.8037, -122.1417,  2.1,  95,  7.4,  9.8
2011-11-22 03:30:00, 36.8088, -122.1412,  1.6,  83,  8.0, 10.7
2011-11-22 04:00:00, 36.8057, -122.1382,  2.0,  81,  8.4, 11.6
2011-11-22 04:30:00, 36.8065, -122.1437,  1.8,  91,  8.8, 12.8
2011-11-22 05:00:00, 36.8081, -122.1393,  1.9,  56,  8.9, 10.7
2011-11-22 05:30:00, 36.8038, -122.1412,  1.8,  69,  7.4,  9.1
2011-11-22 06:00:00, 36.8091, -122.1427,  1.8, 352,  7.1, 25.6
2011-11-22 06:30:00, 36.8078, -122.1382,  1.7,  76,  7.3, 12.8
2011-11-22 07:00:00, 36.8045, -122.1428,  1.7,  82,  8.4, 11.6
2011-11-22 07:30:00, 36.8089, -122.1429,  1.7,  52,  6.9,  7.5
2011-11-22 08:30:00, 36.8080, -122.1390,  1.6, 146,  7.2, 25.6
2011-11-22 09:00:00, 36.8079, -122.1387,  1.5,  79,  6.6,  8.0
2011-11-22 09:30:00, 36.8077, -122.1375,  1.3,  62,  7.6, 10.7
2011-11-22 10:00:00, 36.8043, -122.1390,  1.4,  52,  6.9, 10.7
2011-11-22 10:30:00, 36.8079, -122.1430,  1.6,  58,  7.2,  9.8
2011-11-22 11:00:00, 36.8083, -122.1400,  1.6,  75,  7.9,  9.8
2011-11-22 11:30:00, 36.8060, -122.1381,  1.4,  78,  7.4, 12.8
2011-11-22 12:00:00, 36.8054, -122.1448,  1.2,  44,  6.7,  9.8
2011-11-22 12:30:00, 36.8085, -122.1403,  1.4, 124,  6.0, 25.6
2011-11-22 13:00:00, 36.8046, -122.1388,  1.4,  66,  8.5,  9.8
2011-11-22 13:30:00, 36.8089, -122.1426,  1.3,  87,  7.6,  9.8
2011-11-22 14:30:00, 36.8049, -122.1450,  1.2, 352,  6.8,  9.8
2011-11-22 15:00:00, 36.8085, -122.1407,  1.3, 324,  6.2, 25.6
2011-11-22 16:00:00, 36.8072, -122.1437,  1.1,  72,  6.6,  8.0
2011-11-22 17:30:00, 36.8090, -122.1421,  1.4, 112,  5.8,  9.1
2011-11-22 18:30:00, 36.8053, -122.1448,  1.2, 133,  5.9,  8.0
2011-11-22 19:00:00, 36.8089, -122.1415,  1.2,  60,  6.8,  9.8
2011-11-22 20:00:00, 36.8059, -122.1368,  1.3, 119,  5.8,  9.8
