Timestamp(UTC), Latitude, Longitude, Wave Height(meters), Wave Direction(degrees T), Average Wave Period(seconds), Dominant Wave Period(seconds)
2011-11-19 14:00:00, 36.9914, -122.5821,  3.6,  52,  9.5, 11.6
2011-11-19 14:30:00, 36.9935, -122.5717,  4.4,  46, 11.3, 12.8
2011-11-19 15:00:00, 36.9954, -122.5627,  4.2,  56, 10.3, 11.6
2011-11-19 15:30:00, 36.9951, -122.5529,  3.9,  61, 13.1, 16.0
2011-11-19 16:00:00, 36.9840, -122.5437,  3.7,  53,  9.8, 10.7
2011-11-19 16:30:00, 36.9735, -122.5347,  4.3,  51, 11.4, 12.8
2011-11-19 17:00:00, 36.9649, -122.5272,  3.9,  47,  9.8, 14.2
2011-11-19 17:30:00, 36.9564, -122.5199,  3.8,  56,  7.5, 25.6
2011-11-19 18:30:00, 36.9381, -122.5042,  3.7,  48,  8.1, 11.6
2011-11-19 19:00:00, 36.9285, -122.4958,  3.3,  44,  8.4, 10.7
2011-11-19 20:00:00, 36.9118, -122.4816,  4.0,  56,  8.5,  9.8
2011-11-20 14:30:00, 36.7325, -122.3310,  4.4, 109, 11.1, 25.6
2011-11-20 15:00:00, 36.7320, -122.3379, 18.0,  81, 14.2, 25.6
2011-11-20 15:30:00, 36.7365, -122.3470,  3.9, 231,  8.6, 21.3
2011-11-20 16:00:00, 36.7414, -122.3570,  4.5, 132,  8.4, 25.6
2011-11-20 16:30:00, 36.7486, -122.3568,  3.1,  66,  7.2, 10.7
2011-11-20 17:00:00, 36.7572, -122.3567,  3.3,  46,  7.2, 14.2
2011-11-20 17:30:00, 36.7626, -122.3540,  2.8,  27,  6.8, 25.6
2011-11-20 18:00:00, 36.7644, -122.3502,  3.1, 137,  6.5, 25.6
2011-11-20 19:00:00, 36.7692, -122.3398,  2.3,   4,  6.0, 21.3
2011-11-20 19:30:00, 36.7714, -122.3345,  3.2,  56,  7.0, 14.2
2011-11-20 20:30:00, 36.7708, -122.3316,  3.8,  83,  9.4, 16.0
2011-11-20 21:00:00, 36.7728, -122.3309,  3.4,  61,  8.2, 10.7
2011-11-20 21:30:00, 36.7743, -122.3301,  3.7,  67, 10.3, 14.2
2011-11-20 22:00:00, 36.7734, -122.3340,  2.5,  79,  6.8, 14.2
2011-11-20 22:30:00, 36.7726, -122.3389,  3.8,  58,  8.8, 10.7
2011-11-20 23:00:00, 36.7793, -122.3465,  3.5,  76,  8.5,  9.8
2011-11-20 23:30:00, 36.7837, -122.3458,  4.4,  70,  9.6, 11.6
2011-11-21 00:30:00, 36.7800, -122.3523,  3.2,  85,  7.9,  9.8
2011-11-21 01:30:00, 36.7899, -122.3582,  3.8,  58,  8.3, 21.3
2011-11-21 21:00:00, 36.7735, -122.0920,  2.4,  61,  9.3, 10.7
2011-11-21 21:30:00, 36.7747, -122.0872,  2.3,  74, 10.6, 11.6
2011-11-21 22:00:00, 36.7757, -122.0828,  2.4,  87,  8.7, 11.6
2011-11-22 00:30:00, 36.7944, -122.1294,  1.6,  80,  6.8,  7.5
2011-11-22 01:00:00, 36.7988, -122.1420,  1.9,  79,  7.1, 10.7
2011-11-22 01:30:00, 36.8035, -122.1559,  1.6,  70,  7.8,  8.5
2011-11-22 02:00:00, 36.8064, -122.1687,  2.0,  55,  7.3,  9.8
2011-11-22 02:30:00, 36.8020, -122.1655,  1.9,  69,  7.9, 11.6
2011-11-22 03:00:00, 36.8015, -122.1571,  2.3,  60,  8.1, 10.7
2011-11-22 03:30:00, 36.8011, -122.1490,  1.6,  49,  7.9,  9.8
2011-11-22 04:00:00, 36.8007, -122.1421,  1.5,  57,  8.1,  9.8
2011-11-22 04:30:00, 36.8004, -122.1367,  1.7,  70,  7.7, 10.7
2011-11-22 05:00:00, 36.8001, -122.1316,  1.5,  58,  7.2, 10.7
2011-11-22 05:30:00, 36.8034, -122.1273,  1.8,  67,  7.1,  9.1
2011-11-22 06:00:00, 36.8026, -122.1224,  1.7,  83,  8.2, 11.6
2011-11-22 06:30:00, 36.8003, -122.1293,  1.7,  53,  7.7, 10.7
2011-11-22 07:00:00, 36.8039, -122.1260,  2.0,  58,  8.9,  8.0
2011-11-22 07:30:00, 36.8028, -122.1228,  1.9,  64,  8.1,  9.1
2011-11-22 08:00:00, 36.8008, -122.1225,  1.6,  56,  8.6,  9.8
2011-11-22 08:30:00, 36.8004, -122.1291,  1.3,  73,  6.4, 10.7
2011-11-22 09:00:00, 36.8037, -122.1256,  1.3,  72,  6.3,  8.5
2011-11-22 09:30:00, 36.8026, -122.1222,  1.4,  52,  8.0, 11.6
2011-11-22 10:00:00, 36.7991, -122.1235,  1.4,  67,  7.8, 10.7
2011-11-22 10:30:00, 36.8031, -122.1275,  1.5,  61,  8.6,  9.1
2011-11-22 11:00:00, 36.8027, -122.1227,  1.5,  76,  6.7,  9.8
2011-11-22 11:30:00, 36.7989, -122.1236,  1.4,  75,  7.5,  9.1
2011-11-22 12:00:00, 36.8042, -122.1268,  1.5,  45,  7.4,  9.8
2011-11-22 12:30:00, 36.8016, -122.1221,  1.4,  97,  8.1, 12.8
2011-11-22 13:00:00, 36.8004, -122.1291,  1.2,  58,  6.5,  9.1
2011-11-22 13:30:00, 36.8031, -122.1236,  1.3, 267,  6.2, 21.3
2011-11-22 14:00:00, 36.7989, -122.1258,  1.3,  43,  7.0,  8.5
2011-11-22 14:30:00, 36.8035, -122.1253,  1.3,  24,  6.4,  9.1
2011-11-22 15:00:00, 36.7999, -122.1231,  1.1,  76,  5.7,  8.5
2011-11-22 15:30:00, 36.8029, -122.1276,  1.5, 166,  6.6, 25.6
2011-11-22 16:00:00, 36.8030, -122.1234,  1.2, 126,  6.1, 18.3
2011-11-22 16:30:00, 36.7992, -122.1273,  1.3, 105,  6.5,  8.5
2011-11-22 17:00:00, 36.8037, -122.1257,  1.2, 108,  6.5,  8.5
2011-11-22 18:00:00, 36.8024, -122.1278,  1.4, 196,  8.1,  9.8
2011-11-22 19:00:00, 36.8000, -122.1230,  1.4, 109,  5.7,  7.5
2011-11-22 19:30:00, 36.8034, -122.1273,  1.2,  22,  6.1,  8.5
2011-11-22 20:00:00, 36.8026, -122.1221,  1.3,  88,  7.7,  8.0
2011-11-22 20:30:00, 36.7986, -122.1251,  1.3,  58,  7.0,  9.8
2011-11-22 21:00:00, 36.8042, -122.1253,  1.1,  85,  6.2,  9.1
2011-11-22 22:30:00, 36.7996, -122.1278,  1.2,  53,  7.8,  9.1
2011-11-22 23:00:00, 36.8033, -122.1244,  1.4,  78,  7.8,  8.5
2011-11-22 23:30:00, 36.8009, -122.1224,  1.1,  63,  6.5,  9.8
2011-11-23 00:00:00, 36.7985, -122.1238,  1.1,  64,  7.1,  8.5
2011-11-23 00:30:00, 36.7997, -122.1285,  1.2,  72,  6.7,  9.8
2011-11-23 01:00:00, 36.8030, -122.1239,  1.3,  83,  6.3,  9.1
2011-11-23 01:30:00, 36.7996, -122.1233,  1.3,  65,  7.9,  9.1
2011-11-23 02:00:00, 36.8009, -122.1290,  1.3,  81,  7.0,  8.5
2011-11-23 02:30:00, 36.8020, -122.1221,  1.3,  79,  7.3,  9.1
2011-11-23 03:00:00, 36.7998, -122.1286,  1.4,  59,  7.0,  8.5
2011-11-23 03:30:00, 36.8026, -122.1223,  1.5,  69,  7.3,  8.5
2011-11-23 04:00:00, 36.7987, -122.1181,  1.5, 192,  6.0, 12.8
2011-11-23 04:30:00, 36.7955, -122.1143,  1.5,  70,  8.2,  8.5
2011-11-23 05:00:00, 36.7912, -122.1089,  1.4,  65,  5.9, 12.8
2011-11-23 05:30:00, 36.7870, -122.1041,  1.6, 198,  7.2, 18.3
2011-11-23 07:30:00, 36.7720, -122.0917,  1.7,  66,  6.7,  7.5
2011-11-23 08:00:00, 36.7769, -122.1061,  2.0,  61,  7.0,  9.1
2011-11-23 08:30:00, 36.7822, -122.1220,  1.8,  47,  6.2,  9.8
2011-11-23 09:00:00, 36.7876, -122.1377,  2.2,  45,  8.2, 12.8
2011-11-23 09:30:00, 36.7926, -122.1527,  2.2,  66,  7.3,  8.5
2011-11-23 10:00:00, 36.7979, -122.1679,  2.3,  68,  7.2, 11.6
2011-11-23 10:30:00, 36.7946, -122.1726,  2.5, 114,  8.4, 12.8
2011-11-23 17:30:00, 36.7714, -122.0904,  2.3, 102,  8.0,  9.8
2011-11-23 18:00:00, 36.7766, -122.1045,  2.5,  60,  7.8, 18.3
2011-11-26 16:30:00, 36.7571, -122.0806,  2.6,  71,  8.4, 10.7
2011-11-29 01:00:00, 36.7751, -122.1009,  3.0,  91,  8.7, 11.6
2011-11-29 01:30:00, 36.7770, -122.1068,  2.8,  71,  8.0, 14.2
2011-11-29 02:00:00, 36.7795, -122.1139,  2.7,  63,  8.1, 11.6
2011-11-29 02:30:00, 36.7818, -122.1208,  2.5,  57,  7.3, 11.6
2011-11-29 03:00:00, 36.7841, -122.1274,  2.7,  67,  7.1, 12.8
2011-11-29 03:30:00, 36.7864, -122.1342,  3.3,  40,  7.9, 25.6
2011-11-29 04:00:00, 36.7890, -122.1419,  2.8, 234,  6.3, 25.6
2011-11-29 05:00:00, 36.7943, -122.1558,  2.7,  90,  9.2, 12.8
2011-11-29 06:00:00, 36.7967, -122.1733,  2.7,  69,  6.6, 16.0
2011-11-29 06:30:00, 36.7923, -122.1659,  3.0, 228, 10.8, 21.3
2011-11-29 07:00:00, 36.7886, -122.1553,  2.7, 101,  8.1, 12.8
2011-11-29 07:30:00, 36.7846, -122.1432,  3.4, 101,  7.4, 12.8
2011-11-29 08:00:00, 36.7800, -122.1296,  2.9,  73,  7.8, 14.2
2011-11-29 08:30:00, 36.7750, -122.1148,  2.7,  67,  8.5, 11.6
2011-11-29 09:00:00, 36.7698, -122.0999,  2.5,  71,  8.9, 16.0
2011-11-29 09:30:00, 36.7650, -122.0857,  2.7,  67, 10.6, 12.8
2011-11-29 10:00:00, 36.7687, -122.0826,  2.6,  66,  8.0, 11.6
2011-11-29 10:30:00, 36.7702, -122.0864,  2.3,  66,  7.3,  9.1
2011-11-29 11:00:00, 36.7713, -122.0893,  2.9,  84,  8.2, 12.8
2011-11-29 11:30:00, 36.7726, -122.0933,  3.0,  67,  8.1, 11.6
2011-11-29 12:00:00, 36.7741, -122.0979,  2.9,  37, 10.4, 25.6
2011-11-29 12:30:00, 36.7757, -122.1026,  3.3, 110,  9.4, 18.3
2011-11-29 13:00:00, 36.7775, -122.1079,  3.0,  24,  7.6, 21.3
2011-11-29 14:00:00, 36.7815, -122.1197,  2.5,  49,  6.7, 14.2
2011-11-29 15:30:00, 36.7877, -122.1380,  2.7,  66,  9.4, 14.2
2011-11-29 16:00:00, 36.7897, -122.1443,  2.5, 290,  8.3, 21.3
2011-11-29 16:30:00, 36.7922, -122.1510,  3.1,  43, 10.3, 16.0
2011-11-29 17:00:00, 36.7945, -122.1583,  3.0,  64,  8.6, 18.3
2011-11-29 18:00:00, 36.7974, -122.1731,  2.5,  89,  6.7, 14.2
2011-11-29 18:30:00, 36.7925, -122.1662,  2.6,  73,  8.7, 14.2
2011-11-29 19:00:00, 36.7886, -122.1548,  3.4,  71, 10.0, 14.2
2011-11-29 19:30:00, 36.7849, -122.1439,  2.8,  97,  7.8, 10.7
2011-11-29 20:00:00, 36.7807, -122.1317,  2.9,  64,  9.1, 14.2
2011-11-29 20:30:00, 36.7762, -122.1184,  3.4,  70,  8.9, 11.6
2011-11-29 21:00:00, 36.7712, -122.1040,  2.8,  75,  8.2, 16.0
2011-11-29 21:30:00, 36.7667, -122.0904,  2.7,  58,  8.2, 12.8
2011-11-29 22:00:00, 36.7662, -122.0834,  2.5,   6,  7.8, 21.3
2011-11-30 08:30:00, 36.7779, -122.1236,  2.7,  87,  7.0, 25.6
2011-11-30 09:00:00, 36.7737, -122.1114,  2.6,  65,  7.2, 10.7
2011-11-30 09:30:00, 36.7696, -122.0992,  3.1,  45,  8.7, 14.2
2011-11-30 10:00:00, 36.7657, -122.0877,  2.5,  46,  8.0,  9.1
2011-11-30 10:30:00, 36.7661, -122.0833,  2.2, 348,  6.2, 25.6
2011-11-30 12:30:00, 36.7739, -122.0975,  2.6,  69,  6.2, 21.3
2011-11-30 16:00:00, 36.7847, -122.1289,  3.9,  62,  7.9,  8.5
2011-11-30 16:30:00, 36.7869, -122.1357,  3.8,  28,  8.3,  9.8
2011-11-30 17:00:00, 36.7895, -122.1431,  3.1,  52,  7.6, 11.6
2011-11-30 17:30:00, 36.7922, -122.1511,  3.6,  58,  6.9, 10.7
2011-11-30 20:00:00, 36.7845, -122.1429,  3.4,  37,  6.7, 18.3
2011-12-02 08:00:00, 36.7930, -122.1677,  2.3,  56,  8.2, 18.3
2011-12-02 12:00:00, 36.7759, -122.1033,  2.0,  76,  9.1, 16.0
2011-12-02 12:30:00, 36.7788, -122.1119,  1.8, 328,  7.3, 25.6
2011-12-02 13:00:00, 36.7812, -122.1184,  2.1,  76,  6.6, 11.6
2011-12-02 13:30:00, 36.7828, -122.1238,  1.9,  58,  7.0,  9.1
2011-12-02 14:00:00, 36.7843, -122.1280,  2.0,  61,  7.2, 11.6
2011-12-02 14:30:00, 36.7853, -122.1311,  2.1,  51,  7.9, 10.7
2011-12-02 15:00:00, 36.7862, -122.1334,  1.7,  54,  7.7,  9.8
2011-12-02 15:30:00, 36.7867, -122.1348,  1.3,  50,  6.5, 12.8
2011-12-02 16:00:00, 36.7871, -122.1362,  1.4,  39,  6.9,  9.1
2011-12-02 16:30:00, 36.7874, -122.1369,  1.8,  63,  8.2,  8.5
2011-12-02 17:00:00, 36.7877, -122.1379,  1.4,  47,  7.2,  9.8
2011-12-02 17:30:00, 36.7882, -122.1397,  1.5,  42,  7.8,  9.8
2011-12-02 18:00:00, 36.7891, -122.1421,  1.8,  50,  8.4, 10.7
2011-12-02 18:30:00, 36.7904, -122.1457,  2.0,  49,  9.0, 10.7
2011-12-02 19:00:00, 36.7917, -122.1499,  1.7,  32,  7.6,  9.8
2011-12-02 19:30:00, 36.7935, -122.1552,  1.7,  74,  7.6, 11.6
2011-12-02 20:00:00, 36.7954, -122.1606,  2.0,  78,  8.3, 18.3
2011-12-02 20:30:00, 36.7975, -122.1670,  2.0,  59,  8.1, 10.7
2011-12-02 21:00:00, 36.7976, -122.1730,  2.2,  60,  7.7,  9.1
2011-12-02 21:30:00, 36.7917, -122.1641,  2.0,  62,  8.5,  9.8
2011-12-02 22:00:00, 36.7866, -122.1489,  2.1,  70,  8.8, 16.0
2011-12-02 22:30:00, 36.7810, -122.1329,  2.2,  59, 10.4, 11.6
2011-12-02 23:00:00, 36.7754, -122.1167,  2.0,  58,  9.3, 10.7
2011-12-02 23:30:00, 36.7703, -122.1010,  1.9,  52,  8.6,  9.1
2011-12-03 00:00:00, 36.7651, -122.0862,  2.3,  41,  9.4,  9.8
2011-12-03 00:30:00, 36.7687, -122.0823,  2.6,  60,  9.5, 18.3
2011-12-03 09:00:00, 36.7690, -122.0827,  2.9,  60,  9.0, 14.2
2011-12-03 09:30:00, 36.7714, -122.0904,  2.3,  63,  9.4, 11.6
2011-12-03 10:00:00, 36.7743, -122.0988,  2.2,  78,  8.9, 10.7
2011-12-03 10:30:00, 36.7775, -122.1084,  2.9, 190,  7.7, 25.6
2011-12-03 11:30:00, 36.7840, -122.1268,  2.9, 319,  8.0, 21.3
2011-12-03 12:00:00, 36.7873, -122.1365,  2.7,  52,  7.0, 21.3
2011-12-03 12:30:00, 36.7904, -122.1458,  2.5, 229,  7.6, 21.3
2011-12-03 14:00:00, 36.7992, -122.1715,  2.7,  53,  7.1, 21.3
2011-12-03 16:00:00, 36.7719, -122.1059,  2.3, 189,  7.5, 25.6
2011-12-03 16:30:00, 36.7663, -122.0897,  2.1,  66,  6.1, 10.7
2011-12-03 19:30:00, 36.7833, -122.1253,  2.0,  43,  6.8, 14.2
2011-12-03 20:00:00, 36.7860, -122.1327,  2.7,  78,  7.9, 10.7
2011-12-03 20:30:00, 36.7888, -122.1414,  2.3,  63,  6.1, 14.2
2011-12-03 21:00:00, 36.7915, -122.1491,  2.4,  62,  8.6, 12.8
2011-12-03 21:30:00, 36.7941, -122.1568,  2.5,  78,  8.5, 11.6
2011-12-03 22:00:00, 36.7967, -122.1642,  2.2,  63,  8.3, 14.2
2011-12-03 22:30:00, 36.7992, -122.1719,  2.5,  75,  8.5, 11.6
2011-12-03 23:00:00, 36.7925, -122.1664,  1.9,  51,  8.9, 14.2
2011-12-03 23:30:00, 36.7874, -122.1514,  1.8,  63,  7.5, 11.6
2011-12-04 00:00:00, 36.7823, -122.1367,  1.7,  78,  7.5, 10.7
2011-12-04 00:30:00, 36.7775, -122.1227,  2.0,  76, 10.3, 12.8
2011-12-04 01:00:00, 36.7730, -122.1093,  1.7,  70,  9.1, 16.0
2011-12-04 01:30:00, 36.7691, -122.0974,  1.7,  63, 10.0, 14.2
2011-12-04 02:00:00, 36.7653, -122.0860,  1.9,  57,  9.3, 12.8
2011-12-04 02:30:00, 36.7698, -122.0849,  2.0,  62,  7.9, 11.6
